1;theodoramoore@cuvox.de;Moore;Theodora;2098 Nixon Avenue, Mccutchenville, OH 44844;USA;1975-10-12;419-981-5678;f
2;asiehaygood@cuvox.de ;Haygood;Casie;658 Meadowcrest Lane, Lexington, KY 40507;USA;1973-01-29;606-444-4330;f
3;angelasmith@cuvox.de ;Smith;Angela;456 Farland Avenue, San Antonio, TX 78205;USA;1984-06-11;830-451-6852;f
4;thomasdavis@einrot.com;Davis;Thomas;1135 Caldwell Road, Rochester, NY 14604;USA;1993-09-10;585-230-0660;m
5;tommiedale@einrot.com;Dale;Tommie;3675 Horizon Circle, Tacoma, WA 98491;USA;1978-06-20;253-670-9235;f
6;frankrbartlett@einrot.com;Bartlett;Frank;2111 Keyser Ridge Road, Advance, NC 27006;USA;1997-09-10;336-467-5477;m
7;marcymoultry@cuvox.de;Moultry;Marcy;1267 Ingram Road, Greensboro, NC 27401;USA;1997-11-01;336-641-4832;f
8;johncardoza@cuvox.de;Cardoza;John;3671 Armory Road, Fayetteville, NC 28301;USA;1988-05-22;910-822-8364;m
9;henrymaynor@einrot.com;Maynor;Henry;983 Trainer Avenue, Sparland, IL 61565;USA;1998-11-22;309-469-4784;m
10;tiffanyfrazier@einrot.com;Frazier;Tiffany;3795 Brookside Drive, Birmingham, AL 35222;USA;1977-11-01;205-393-3789;f
11;hazellinder@einrot.com;Linder;Hazel;1027 Polk Street, Tucson, AZ 85714;USA;1994-02-28;520-867-1627;f
